               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12347,            0.033235,            0.029145,           0.0020339,           0.0022625,          0.00023667,           4.725e-05,             0.11442,            0.032568,            0.028909,             0.00027,             0.00027,             0.09757
                   1,              0.1101,            0.034091,            0.028084,           0.0027439,            0.011312,          0.00090867,          0.00019907,            0.099583,            0.034277,            0.027841,          0.00054999,          0.00054999,             0.09505
                   2,             0.10026,            0.034367,            0.027334,            0.017161,             0.14135,           0.0072485,           0.0013594,            0.088192,            0.035584,            0.026888,          0.00082992,          0.00082992,             0.09253
                   3,            0.084168,            0.035152,            0.026488,              0.2275,             0.45141,             0.19021,            0.046811,            0.068174,            0.035619,            0.026569,           0.0011098,           0.0011098,             0.09001
                   4,            0.071567,            0.033272,            0.026084,             0.27239,             0.43211,             0.23571,            0.061762,            0.057568,            0.026881,            0.026115,           0.0013895,           0.0013895,            0.087489
                   5,            0.065653,            0.026598,            0.025786,             0.33852,             0.57017,             0.32796,            0.086561,            0.058112,            0.025169,            0.025628,            0.001669,            0.001669,            0.084969
                   6,            0.073649,            0.023531,            0.025718,             0.12832,             0.40377,             0.11189,            0.021023,            0.074441,            0.020774,            0.025417,           0.0019483,           0.0019483,            0.082448
                   7,            0.067806,            0.023663,            0.025445,             0.23669,             0.62598,             0.25099,            0.050272,            0.072175,            0.019059,            0.024925,           0.0022273,           0.0022273,            0.079927
                   8,            0.065005,            0.021541,            0.025129,              0.5299,             0.62812,              0.5435,              0.2058,            0.053041,            0.020022,            0.024363,            0.002506,            0.002506,            0.077406
                   9,            0.059638,            0.021039,            0.024695,             0.39154,             0.52944,             0.39987,            0.095003,            0.055992,            0.018613,            0.023646,           0.0027844,           0.0027844,            0.074884
                  10,            0.059597,            0.019198,            0.024099,             0.59424,             0.61647,             0.61034,             0.28714,             0.04547,            0.019177,            0.023055,           0.0030624,           0.0030624,            0.072362
                  11,            0.054905,            0.019353,            0.023093,             0.46095,             0.54238,             0.49055,             0.14254,             0.05037,            0.017042,            0.021671,             0.00334,             0.00334,             0.06984
                  12,            0.055336,            0.017706,             0.02189,             0.60481,             0.68458,             0.64139,              0.2682,            0.041908,            0.016579,            0.020969,           0.0036171,           0.0036171,            0.067317
                  13,            0.052816,            0.017725,            0.019845,             0.54542,             0.75203,             0.63771,             0.25449,            0.046081,             0.01606,            0.018686,           0.0038937,           0.0038937,            0.064794
                  14,            0.053823,            0.016033,            0.017063,             0.57799,             0.77603,             0.72947,             0.23834,            0.042884,            0.015563,            0.013373,           0.0041698,           0.0041698,             0.06227
                  15,            0.049797,            0.016727,            0.015386,             0.57315,             0.77205,             0.71264,              0.2749,            0.041571,            0.015161,            0.011921,           0.0044452,           0.0044452,            0.059745
